Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
TOI-178 b,251848941,1,1.914558,12,7.3020115,-30.4541159,62.699
TOI-178 c,251848941,1,3.23845,7,7.3020115,-30.4541159,62.699
TOI-178 d,251848941,1,6.5577,4,7.3020115,-30.4541159,62.699
TOI-178 e,251848941,1,9.961881,3,7.3020115,-30.4541159,62.699
TOI-178 f,251848941,1,15.231915,2,7.3020115,-30.4541159,62.699
TOI-178 g,251848941,1,20.7095,2,7.3020115,-30.4541159,62.699
TOI-216.01,55652896,8,34.556,6,73.9800129,-63.2603301,177.945
TOI-216.02,55652896,8,17.089,11,73.9800129,-63.2603301,177.945
TOI-237 b,305048087,1,5.436098,5,353.2435381,-29.416487,38.0749
TOI-270 b,259377017,2,3.36008,14,68.4160804,-51.9573937,22.4793
TOI-270 c,259377017,2,5.660172,8,68.4160804,-51.9573937,22.4793
TOI-270 d,259377017,2,11.38014,4,68.4160804,-51.9573937,22.4793
TOI-481 b,339672028,1,10.33111,3,110.5126861,-57.384998,179.366
TOI-540 b,200322593,2,1.2391491,36,76.3096949,-47.9375391,14.0022
TOI-700 b,150428135,6,9.97702,14,97.0957165,-65.5786149,31.1265
TOI-700 c,150428135,6,16.05111,9,97.0957165,-65.5786149,31.1265
TOI-700 d,150428135,6,37.42475,4,97.0957165,-65.5786149,31.1265
TOI-813 b,55525572,2,83.8911,1,72.6940102,-60.9054608,263.145
TOI-1130 b,254113311,1,4.066499,6,286.3760037,-41.4376399,58.2609
TOI-1130 c,254113311,1,8.350381,3,286.3760037,-41.4376399,58.2609
TOI-1338 b,260128333,7,95.174,2,92.1330955,-59.5409853,399.017
TOI-1478 b,409794137,1,10.180249,3,126.4337428,-13.5595485,152.892
WASP-4 b,402026209,2,1.33823147,33,353.5629149,-42.0617794,267.206
WASP-5 b,184240683,1,1.6284279,14,359.3490277,-41.2772202,309.137
WASP-6 b,204376737,1,3.36101,7,348.1571282,-22.6741248,197.119
WASP-7 b,389352124,1,4.9546416,5,311.0427558,-39.2254856,162.303
WASP-8 b,183532609,1,8.15872,3,359.9008737,-35.0313349,89.9606
WASP-18 b,100100827,2,0.94124,47,24.3544618,-45.6777937,123.483
WASP-20 b,211438925,1,4.8996284,5,5.1605621,-23.9357894,211.877
WASP-23 b,170102285,1,2.9444256,8,101.1275033,-42.7622296,207.49
WASP-26 b,32487566,1,2.7566,8,4.6030424,-15.2674044,252.759
WASP-29 b,183537452,1,3.92273,6,357.8791976,-39.9071215,87.5953
WASP-35 b,43647325,1,3.16158,7,76.0818912,-6.2297801,202.218
WASP-36 b,13349647,1,1.53736596,15,131.5803897,-8.0269855,386.346
WASP-45 b,120610833,1,3.126089,8,5.2377567,-35.998465,211.196
WASP-46 b,231663901,1,1.43036763,16,318.7370122,-55.8718634,375.31
WASP-49 b,306362738,1,2.78174,8,91.0897193,-16.9653901,194.553
WASP-50 b,382391899,1,1.9551,12,43.6880738,-10.8980242,184.848
WASP-53 b,268766053,1,3.3098443,7,31.9091639,-20.661843,201.338
WASP-61 b,13021029,1,3.8559,6,75.2996637,-26.0541438,488.66
WASP-62 b,149603524,8,4.41195,40,87.1398205,-63.9883286,175.631
WASP-63 b,393414358,2,4.37808,11,94.3363562,-38.3233826,290.684
WASP-64 b,52640302,2,1.5732918,28,101.1149223,-32.8583878,369.926
WASP-65 b,444013020,1,2.3114243,10,133.3242982,8.5230171,273.703
WASP-72 b,122612091,2,2.21673,20,41.0400779,-30.1690785,434.754
WASP-73 b,231670397,1,4.08722,6,319.9496969,-58.1489328,316.678
WASP-77 A b,1129033,1,1.36003,17,37.1555223,-7.0606675,105.166
WASP-79 b,170634116,2,3.66238,12,66.3709016,-30.6004362,246.69
WASP-84 b,350293646,1,8.5234865,3,131.1069959,1.8598933,100.588
WASP-88 b,100566492,1,4.954,5,309.5112337,-48.4620833,523.756
WASP-91 b,238176110,2,2.798581,16,357.846434,-70.1528621,149.942
WASP-94 A b,92352620,1,3.95019,6,313.7832393,-34.1357512,211.211
WASP-95 b,144065872,1,2.18467,11,337.4578243,-48.0030988,137.544
WASP-96 b,160148385,1,3.4252602,7,1.0465696,-47.3606352,352.464
WASP-97 b,230982885,1,2.07276,11,24.6051389,-55.7720006,151.068
WASP-98 b,166833457,1,2.96264036,8,58.4290113,-34.3282716,281.742
WASP-99 b,166836920,2,5.75251,8,39.8976689,-50.0081934,158.66
WASP-100 b,38846515,8,2.84938,62,68.9598159,-64.027039,364.411
WASP-101 b,47911178,1,3.58572,7,98.3511016,-23.486086,201.224
WASP-117 b,166739520,2,10.02165,5,36.7758112,-50.2844247,157.963
WASP-119 b,388104525,6,2.49979,53,55.9336392,-65.19378,302.448
WASP-120 b,152476657,2,3.6112706,13,62.6160813,-45.8982434,381.174
WASP-121 b,22529346,2,1.2749255,35,107.6002312,-39.0972705,269.898
WASP-126 b,25155310,8,3.28883,54,63.374706,-69.2265926,216.526
WASP-136 b,176220787,1,5.215357,5,0.325761,-8.9262512,275.587
WASP-138 b,35857242,1,3.634433,7,41.6391598,-0.4641252,414.234
WASP-139 b,159951311,2,5.924262,8,49.562173,-41.3020235,212.472
WASP-140 b,178284730,1,2.2359835,10,60.3855387,-20.4509991,117.598
WASP-141 b,117979897,1,3.310651,7,71.8244347,-17.1151736,516.543
WASP-144 b,207077681,1,2.2783152,10,320.7628761,-40.0484393,355.513
WASP-147 b,114749636,1,4.60273,5,359.1915117,-22.1532316,436.098
WASP-156 b,270380593,1,3.836169,6,32.782085,2.4181937,122.066
WASP-159 b,77156657,2,3.840401,12,68.1364792,-38.9682973,715.383
WASP-160 B b,32949762,2,3.7684952,12,87.679561,-27.6233218,288.326
WASP-161 b,50712784,1,5.4060425,5,126.3378248,-11.5009889,343.08
WASP-164 b,237320326,1,1.7771255,13,344.8735878,-60.4478194,327.506
WASP-165 b,228381868,1,3.465509,7,357.5806472,-17.0775947,602.236
WASP-168 b,232038798,3,4.153658,16,96.7446427,-46.8213635,303.941
WASP-169 b,386259537,1,5.6114118,4,127.3872297,-12.9447683,627.066
WASP-173 A b,77031414,1,1.38665318,16,354.1686959,-34.6113042,232.98
WASP-180 A b,178367144,1,3.409264,7,123.3922465,-1.9827874,253.985
WASP-182 b,369455629,1,3.3769848,7,311.673345,-41.8209828,327.602
WASP-190 b,116156517,1,5.367753,5,7.7095292,-40.5734613,542.251
pi Men c,261136679,4,6.2679,14,84.2992798,-80.4646041,18.2702
